t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 73.75027952,3.12301613,3.00462440,0.11839173,30.15533636,333.66237040,65.76788613,1.41843557,0.13790925,0.02961390,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.97225881,0.00000000,0.53566605,9.29156816,0.00000000,1.08952447,0.00000000,0.09973883,30.78440975,7.67098879,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.72530022,-47.57814777,0.00000000,0.00000000,0.31202435,0.68797565,0.91887093,0.08112907,0.03625730,0.03870940,0.05882632,0.00304520,0.38376144,0.03116382,0.68049595,0.03703996,-nan
 1, 73.75444993,3.12283955,3.00445451,0.11838504,30.15815478,333.69972012,65.77351300,1.41843954,0.13790906,0.02961500,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.82393308,0.00000000,0.68364632,9.29156816,-0.00189560,1.08952447,0.00000000,0.09973883,30.78440975,14.76314017,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.71431178,-47.55998286,0.63082855,0.74689658,0.31202435,0.68797565,0.91179259,0.08820741,0.03625730,0.03870940,0.07450236,0.00422542,0.38376144,0.03116382,0.68049595,0.04805866,-nan
 2, 73.69879169,3.12328905,2.98457971,0.13870934,30.14375902,333.13973282,65.87302147,1.41804505,0.13801334,0.02943468,0.02000000,437.08231376,0.25000000,0.18604219,0.65821043,5.96802586,0.23553156,0.52348812,9.29156816,0.00958239,1.08952447,0.04767729,0.10237413,43.51729716,7.41771555,34.47329619,0.77613722,0.34412908,0.64458738,0.80603883,0.91954411,0.78604127,0.32884586,0.61600322,0.77454830,0.90262182,-23.71162488,-47.54941144,0.85259534,0.94918466,0.30967493,0.69032507,0.70417791,0.29582209,0.04211429,0.04552518,0.06086117,0.01523472,0.39325050,0.03214434,0.85204909,0.07900240,-inf
 3, 73.66947837,3.12257184,2.98903847,0.13353337,30.14226670,332.83122162,65.82805435,1.41754723,0.13807315,0.02945711,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.89740301,0.00000000,0.60015995,9.29156816,-0.00131117,1.08952447,0.00000000,0.09733177,35.45197013,11.23915068,42.31117365,0.77441853,0.34565398,0.64592810,0.80710862,0.92159430,0.78402742,0.33087247,0.61835437,0.77703716,0.90428768,-23.72385088,-47.60608677,0.04080522,0.00815783,0.27278449,0.72721551,0.92471140,0.07528860,0.03579034,0.04613588,0.06626966,0.00316974,0.38751715,0.02726882,0.68508301,0.04036921,-inf
 4, 73.67049456,3.12217614,2.98597898,0.13619716,30.14353259,332.81210087,65.83806179,1.41750922,0.13808238,0.02944623,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.98513407,0.00000000,0.51024535,9.29156816,0.00003468,1.08952447,0.00000000,0.10063386,39.33854644,5.22831533,38.62055333,0.77463767,0.34563611,0.64616178,0.80760132,0.92176388,0.78443103,0.33055859,0.61802164,0.77673376,0.90413850,-23.72746313,-47.60129563,0.05134634,0.01301574,0.29043171,0.70956829,0.91007226,0.08992774,0.03883847,0.04593863,0.05545487,0.00321922,0.38693860,0.03150785,0.75729001,0.04888795,-inf
 5, 73.69171421,3.12117095,2.98957830,0.13159265,30.14778212,333.14705204,65.70475707,1.41771887,0.13799729,0.02963042,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.92992674,0.00000000,0.57021044,9.29156816,-0.00095591,1.08952447,0.00000000,0.10048326,26.05166165,9.80427816,40.48855877,0.77506015,0.34505902,0.64511930,0.80633620,0.92085021,0.78450624,0.33051088,0.61796860,0.77672576,0.90410188,-23.72927249,-47.60204325,0.03582134,0.01934347,0.28106938,0.71893062,0.91871654,0.08128346,0.03632920,0.04498463,0.06260341,0.00324981,0.38534555,0.03170552,0.63535243,0.02886384,-inf
 6, 73.69361838,3.12138252,2.98961277,0.13176975,30.14803383,333.12177673,65.74910010,1.41774422,0.13801033,0.02957880,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.97092624,0.00000000,0.52843639,9.29156816,-0.00018744,1.08952447,0.00000000,0.09988729,34.45291739,6.43485851,38.19822830,0.77531460,0.34485571,0.64486209,0.80614649,0.92047607,0.78476252,0.33029756,0.61768313,0.77642592,0.90394148,-23.72903400,-47.59702484,0.04356790,0.02468091,0.29574164,0.70425836,0.91004836,0.08995164,0.03826345,0.04412904,0.05746388,0.00333311,0.38347194,0.03141802,0.71953972,0.04165995,-inf
 7, 73.70592932,3.12104570,2.99225751,0.12878819,30.15129811,333.26747340,65.70443658,1.41782778,0.13797909,0.02964621,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.94694025,0.00000000,0.55523655,9.29156816,-0.00062698,1.08952447,0.00000000,0.10083569,28.14317677,8.72916009,38.38369862,0.77563238,0.34442148,0.64409538,0.80513134,0.91975715,0.78485295,0.33020912,0.61756352,0.77632274,0.90387061,-23.72953593,-47.59630115,0.04292459,0.02761284,0.29505722,0.70494278,0.91148700,0.08851300,0.03731791,0.04317556,0.06048947,0.00344524,0.38778429,0.03155423,0.65524607,0.03178487,-inf
 8, 73.70876545,3.12125396,2.99291449,0.12833947,30.15051399,333.29667703,65.72466527,1.41791778,0.13797337,0.02962467,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.96877745,0.00000000,0.53326529,9.29156816,-0.00020794,1.08952447,0.00000000,0.09927792,32.11626163,7.29683588,36.69092287,0.77583274,0.34421408,0.64379110,0.80492333,0.91929084,0.78501287,0.33006071,0.61736350,0.77610143,0.90376185,-23.72899187,-47.59288043,0.04954172,0.03085674,0.30220351,0.69779649,0.92150744,0.07849256,0.03808175,0.04258844,0.05873254,0.00293427,0.38096491,0.03126683,0.70044336,0.03858735,-inf
 9, 73.71217284,3.12113311,2.99328630,0.12784682,30.15098513,333.35089589,65.70562733,1.41796006,0.13795941,0.02965135,0.02000000,437.08231376,0.25000000,0.18604219,0.00000000,5.96508002,0.00000000,0.53755952,9.29156816,-0.00026506,1.08952447,0.00000000,0.10000477,30.01031994,7.98726709,37.35998310,0.77593068,0.34410148,0.64361814,0.80461887,0.91922502,0.78507124,0.33000651,0.61730019,0.77606625,0.90372824,-23.72907032,-47.59183527,0.05051885,0.03549375,0.30144609,0.69855391,0.91998690,0.08001310,0.03784030,0.04247355,0.05911326,0.00301495,0.38714006,0.03067823,0.67795984,0.03638351,-inf
